side,group,ik_link,frame,x,y,z,orient_idx,orient_label,qx,qy,qz,qw,success,error_code,reason,time_ms,n_success,n_total,point_reachable
left,left_arm,left_tool0,world,-0.500000,0.000000,0.600000,0,yaw-15_pitch-15,-0.10355339,0.60355339,-0.07945931,0.78656609,1,1,success,38.8,,,
left,left_arm,left_tool0,world,-0.500000,0.000000,0.600000,1,yaw0_pitch-15,0.00000000,0.60876143,0.00000000,0.79335334,1,1,success,55.2,,,
left,left_arm,left_tool0,world,-0.500000,0.000000,0.600000,2,yaw+15_pitch-15,0.10355339,0.60355339,0.07945931,0.78656609,1,1,success,53.6,,,
left,left_arm,left_tool0,world,-0.500000,0.000000,0.600000,3,yaw-15_pitch0,-0.09229596,0.70105738,-0.09229596,0.70105738,1,1,success,50.3,,,
left,left_arm,left_tool0,world,-0.500000,0.000000,0.600000,4,center,0.00000000,0.70710678,0.00000000,0.70710678,1,1,success,55.3,,,
left,left_arm,left_tool0,world,-0.500000,0.000000,0.600000,5,yaw+15_pitch0,0.09229596,0.70105738,0.09229596,0.70105738,1,1,success,52.5,,,
left,left_arm,left_tool0,world,-0.500000,0.000000,0.600000,6,yaw-15_pitch+15,-0.07945931,0.78656609,-0.10355339,0.60355339,1,1,success,50.7,,,
left,left_arm,left_tool0,world,-0.500000,0.000000,0.600000,7,yaw0_pitch+15,0.00000000,0.79335334,0.00000000,0.60876143,1,1,success,50.7,,,
left,left_arm,left_tool0,world,-0.500000,0.000000,0.600000,8,yaw+15_pitch+15,0.07945931,0.78656609,0.10355339,0.60355339,1,1,success,51.9,,,
left,left_arm,left_tool0,world,-0.500000,0.000000,0.600000,-1,SUMMARY,,,,,,,,,9,9,1
left,left_arm,left_tool0,world,-0.500000,0.000000,0.800000,0,yaw-15_pitch-15,-0.10355339,0.60355339,-0.07945931,0.78656609,1,1,success,50.8,,,
left,left_arm,left_tool0,world,-0.500000,0.000000,0.800000,1,yaw0_pitch-15,0.00000000,0.60876143,0.00000000,0.79335334,1,1,success,51.6,,,
left,left_arm,left_tool0,world,-0.500000,0.000000,0.800000,2,yaw+15_pitch-15,0.10355339,0.60355339,0.07945931,0.78656609,1,1,success,53.8,,,
left,left_arm,left_tool0,world,-0.500000,0.000000,0.800000,3,yaw-15_pitch0,-0.09229596,0.70105738,-0.09229596,0.70105738,1,1,success,50.2,,,
left,left_arm,left_tool0,world,-0.500000,0.000000,0.800000,4,center,0.00000000,0.70710678,0.00000000,0.70710678,1,1,success,50.8,,,
left,left_arm,left_tool0,world,-0.500000,0.000000,0.800000,5,yaw+15_pitch0,0.09229596,0.70105738,0.09229596,0.70105738,1,1,success,50.9,,,
left,left_arm,left_tool0,world,-0.500000,0.000000,0.800000,6,yaw-15_pitch+15,-0.07945931,0.78656609,-0.10355339,0.60355339,1,1,success,50.8,,,
left,left_arm,left_tool0,world,-0.500000,0.000000,0.800000,7,yaw0_pitch+15,0.00000000,0.79335334,0.00000000,0.60876143,1,1,success,50.6,,,
left,left_arm,left_tool0,world,-0.500000,0.000000,0.800000,8,yaw+15_pitch+15,0.07945931,0.78656609,0.10355339,0.60355339,1,1,success,50.9,,,
left,left_arm,left_tool0,world,-0.500000,0.000000,0.800000,-1,SUMMARY,,,,,,,,,9,9,1
left,left_arm,left_tool0,world,-0.500000,0.000000,1.000000,0,yaw-15_pitch-15,-0.10355339,0.60355339,-0.07945931,0.78656609,1,1,success,50.4,,,
left,left_arm,left_tool0,world,-0.500000,0.000000,1.000000,1,yaw0_pitch-15,0.00000000,0.60876143,0.00000000,0.79335334,1,1,success,50.8,,,
left,left_arm,left_tool0,world,-0.500000,0.000000,1.000000,2,yaw+15_pitch-15,0.10355339,0.60355339,0.07945931,0.78656609,1,1,success,50.6,,,
left,left_arm,left_tool0,world,-0.500000,0.000000,1.000000,3,yaw-15_pitch0,-0.09229596,0.70105738,-0.09229596,0.70105738,1,1,success,50.9,,,
left,left_arm,left_tool0,world,-0.500000,0.000000,1.000000,4,center,0.00000000,0.70710678,0.00000000,0.70710678,1,1,success,50.8,,,
left,left_arm,left_tool0,world,-0.500000,0.000000,1.000000,5,yaw+15_pitch0,0.09229596,0.70105738,0.09229596,0.70105738,1,1,success,50.5,,,
left,left_arm,left_tool0,world,-0.500000,0.000000,1.000000,6,yaw-15_pitch+15,-0.07945931,0.78656609,-0.10355339,0.60355339,1,1,success,50.7,,,
left,left_arm,left_tool0,world,-0.500000,0.000000,1.000000,7,yaw0_pitch+15,0.00000000,0.79335334,0.00000000,0.60876143,1,1,success,50.9,,,
left,left_arm,left_tool0,world,-0.500000,0.000000,1.000000,8,yaw+15_pitch+15,0.07945931,0.78656609,0.10355339,0.60355339,1,1,success,0.5,,,
left,left_arm,left_tool0,world,-0.500000,0.000000,1.000000,-1,SUMMARY,,,,,,,,,9,9,1
left,left_arm,left_tool0,world,-0.500000,0.000000,1.200000,0,yaw-15_pitch-15,-0.10355339,0.60355339,-0.07945931,0.78656609,1,1,success,50.5,,,
left,left_arm,left_tool0,world,-0.500000,0.000000,1.200000,1,yaw0_pitch-15,0.00000000,0.60876143,0.00000000,0.79335334,1,1,success,50.8,,,
left,left_arm,left_tool0,world,-0.500000,0.000000,1.200000,2,yaw+15_pitch-15,0.10355339,0.60355339,0.07945931,0.78656609,1,1,success,50.7,,,
left,left_arm,left_tool0,world,-0.500000,0.000000,1.200000,3,yaw-15_pitch0,-0.09229596,0.70105738,-0.09229596,0.70105738,1,1,success,50.7,,,
left,left_arm,left_tool0,world,-0.500000,0.000000,1.200000,4,center,0.00000000,0.70710678,0.00000000,0.70710678,1,1,success,51.1,,,
left,left_arm,left_tool0,world,-0.500000,0.000000,1.200000,5,yaw+15_pitch0,0.09229596,0.70105738,0.09229596,0.70105738,1,1,success,51.3,,,
left,left_arm,left_tool0,world,-0.500000,0.000000,1.200000,6,yaw-15_pitch+15,-0.07945931,0.78656609,-0.10355339,0.60355339,1,1,success,50.2,,,
left,left_arm,left_tool0,world,-0.500000,0.000000,1.200000,7,yaw0_pitch+15,0.00000000,0.79335334,0.00000000,0.60876143,1,1,success,50.7,,,
left,left_arm,left_tool0,world,-0.500000,0.000000,1.200000,8,yaw+15_pitch+15,0.07945931,0.78656609,0.10355339,0.60355339,1,1,success,50.7,,,
left,left_arm,left_tool0,world,-0.500000,0.000000,1.200000,-1,SUMMARY,,,,,,,,,9,9,1
left,left_arm,left_tool0,world,-0.500000,0.000000,1.400000,0,yaw-15_pitch-15,-0.10355339,0.60355339,-0.07945931,0.78656609,1,1,success,50.9,,,
left,left_arm,left_tool0,world,-0.500000,0.000000,1.400000,1,yaw0_pitch-15,0.00000000,0.60876143,0.00000000,0.79335334,1,1,success,51.0,,,
left,left_arm,left_tool0,world,-0.500000,0.000000,1.400000,2,yaw+15_pitch-15,0.10355339,0.60355339,0.07945931,0.78656609,1,1,success,50.7,,,
left,left_arm,left_tool0,world,-0.500000,0.000000,1.400000,3,yaw-15_pitch0,-0.09229596,0.70105738,-0.09229596,0.70105738,1,1,success,50.8,,,
left,left_arm,left_tool0,world,-0.500000,0.000000,1.400000,4,center,0.00000000,0.70710678,0.00000000,0.70710678,1,1,success,50.6,,,
left,left_arm,left_tool0,world,-0.500000,0.000000,1.400000,5,yaw+15_pitch0,0.09229596,0.70105738,0.09229596,0.70105738,1,1,success,50.6,,,
left,left_arm,left_tool0,world,-0.500000,0.000000,1.400000,6,yaw-15_pitch+15,-0.07945931,0.78656609,-0.10355339,0.60355339,1,1,success,50.7,,,
left,left_arm,left_tool0,world,-0.500000,0.000000,1.400000,7,yaw0_pitch+15,0.00000000,0.79335334,0.00000000,0.60876143,1,1,success,50.7,,,
left,left_arm,left_tool0,world,-0.500000,0.000000,1.400000,8,yaw+15_pitch+15,0.07945931,0.78656609,0.10355339,0.60355339,1,1,success,50.7,,,
left,left_arm,left_tool0,world,-0.500000,0.000000,1.400000,-1,SUMMARY,,,,,,,,,9,9,1
left,left_arm,left_tool0,world,-0.500000,0.200000,0.600000,0,yaw-15_pitch-15,-0.10355339,0.60355339,-0.07945931,0.78656609,1,1,success,62.3,,,
left,left_arm,left_tool0,world,-0.500000,0.200000,0.600000,1,yaw0_pitch-15,0.00000000,0.60876143,0.00000000,0.79335334,1,1,success,57.5,,,
left,left_arm,left_tool0,world,-0.500000,0.200000,0.600000,2,yaw+15_pitch-15,0.10355339,0.60355339,0.07945931,0.78656609,1,1,success,50.4,,,
left,left_arm,left_tool0,world,-0.500000,0.200000,0.600000,3,yaw-15_pitch0,-0.09229596,0.70105738,-0.09229596,0.70105738,1,1,success,54.4,,,
left,left_arm,left_tool0,world,-0.500000,0.200000,0.600000,4,center,0.00000000,0.70710678,0.00000000,0.70710678,1,1,success,50.6,,,
left,left_arm,left_tool0,world,-0.500000,0.200000,0.600000,5,yaw+15_pitch0,0.09229596,0.70105738,0.09229596,0.70105738,1,1,success,50.6,,,
left,left_arm,left_tool0,world,-0.500000,0.200000,0.600000,6,yaw-15_pitch+15,-0.07945931,0.78656609,-0.10355339,0.60355339,1,1,success,54.7,,,
left,left_arm,left_tool0,world,-0.500000,0.200000,0.600000,7,yaw0_pitch+15,0.00000000,0.79335334,0.00000000,0.60876143,1,1,success,55.0,,,
left,left_arm,left_tool0,world,-0.500000,0.200000,0.600000,8,yaw+15_pitch+15,0.07945931,0.78656609,0.10355339,0.60355339,1,1,success,53.6,,,
left,left_arm,left_tool0,world,-0.500000,0.200000,0.600000,-1,SUMMARY,,,,,,,,,9,9,1
left,left_arm,left_tool0,world,-0.500000,0.200000,0.800000,0,yaw-15_pitch-15,-0.10355339,0.60355339,-0.07945931,0.78656609,1,1,success,51.1,,,
left,left_arm,left_tool0,world,-0.500000,0.200000,0.800000,1,yaw0_pitch-15,0.00000000,0.60876143,0.00000000,0.79335334,1,1,success,52.3,,,
left,left_arm,left_tool0,world,-0.500000,0.200000,0.800000,2,yaw+15_pitch-15,0.10355339,0.60355339,0.07945931,0.78656609,1,1,success,57.0,,,
left,left_arm,left_tool0,world,-0.500000,0.200000,0.800000,3,yaw-15_pitch0,-0.09229596,0.70105738,-0.09229596,0.70105738,1,1,success,50.9,,,
left,left_arm,left_tool0,world,-0.500000,0.200000,0.800000,4,center,0.00000000,0.70710678,0.00000000,0.70710678,1,1,success,50.1,,,
left,left_arm,left_tool0,world,-0.500000,0.200000,0.800000,5,yaw+15_pitch0,0.09229596,0.70105738,0.09229596,0.70105738,1,1,success,50.7,,,
left,left_arm,left_tool0,world,-0.500000,0.200000,0.800000,6,yaw-15_pitch+15,-0.07945931,0.78656609,-0.10355339,0.60355339,1,1,success,51.8,,,
left,left_arm,left_tool0,world,-0.500000,0.200000,0.800000,7,yaw0_pitch+15,0.00000000,0.79335334,0.00000000,0.60876143,1,1,success,50.5,,,
left,left_arm,left_tool0,world,-0.500000,0.200000,0.800000,8,yaw+15_pitch+15,0.07945931,0.78656609,0.10355339,0.60355339,1,1,success,62.4,,,
left,left_arm,left_tool0,world,-0.500000,0.200000,0.800000,-1,SUMMARY,,,,,,,,,9,9,1
left,left_arm,left_tool0,world,-0.500000,0.200000,1.000000,0,yaw-15_pitch-15,-0.10355339,0.60355339,-0.07945931,0.78656609,1,1,success,50.3,,,
left,left_arm,left_tool0,world,-0.500000,0.200000,1.000000,1,yaw0_pitch-15,0.00000000,0.60876143,0.00000000,0.79335334,1,1,success,50.7,,,
left,left_arm,left_tool0,world,-0.500000,0.200000,1.000000,2,yaw+15_pitch-15,0.10355339,0.60355339,0.07945931,0.78656609,1,1,success,50.7,,,
left,left_arm,left_tool0,world,-0.500000,0.200000,1.000000,3,yaw-15_pitch0,-0.09229596,0.70105738,-0.09229596,0.70105738,1,1,success,50.8,,,
left,left_arm,left_tool0,world,-0.500000,0.200000,1.000000,4,center,0.00000000,0.70710678,0.00000000,0.70710678,1,1,success,50.8,,,
left,left_arm,left_tool0,world,-0.500000,0.200000,1.000000,5,yaw+15_pitch0,0.09229596,0.70105738,0.09229596,0.70105738,1,1,success,50.3,,,
left,left_arm,left_tool0,world,-0.500000,0.200000,1.000000,6,yaw-15_pitch+15,-0.07945931,0.78656609,-0.10355339,0.60355339,1,1,success,50.7,,,
left,left_arm,left_tool0,world,-0.500000,0.200000,1.000000,7,yaw0_pitch+15,0.00000000,0.79335334,0.00000000,0.60876143,1,1,success,50.9,,,
left,left_arm,left_tool0,world,-0.500000,0.200000,1.000000,8,yaw+15_pitch+15,0.07945931,0.78656609,0.10355339,0.60355339,1,1,success,50.4,,,
left,left_arm,left_tool0,world,-0.500000,0.200000,1.000000,-1,SUMMARY,,,,,,,,,9,9,1
left,left_arm,left_tool0,world,-0.500000,0.200000,1.200000,0,yaw-15_pitch-15,-0.10355339,0.60355339,-0.07945931,0.78656609,1,1,success,50.7,,,
left,left_arm,left_tool0,world,-0.500000,0.200000,1.200000,1,yaw0_pitch-15,0.00000000,0.60876143,0.00000000,0.79335334,1,1,success,50.7,,,
left,left_arm,left_tool0,world,-0.500000,0.200000,1.200000,2,yaw+15_pitch-15,0.10355339,0.60355339,0.07945931,0.78656609,1,1,success,50.7,,,
left,left_arm,left_tool0,world,-0.500000,0.200000,1.200000,3,yaw-15_pitch0,-0.09229596,0.70105738,-0.09229596,0.70105738,1,1,success,50.5,,,
left,left_arm,left_tool0,world,-0.500000,0.200000,1.200000,4,center,0.00000000,0.70710678,0.00000000,0.70710678,1,1,success,50.7,,,
left,left_arm,left_tool0,world,-0.500000,0.200000,1.200000,5,yaw+15_pitch0,0.09229596,0.70105738,0.09229596,0.70105738,1,1,success,50.6,,,
left,left_arm,left_tool0,world,-0.500000,0.200000,1.200000,6,yaw-15_pitch+15,-0.07945931,0.78656609,-0.10355339,0.60355339,1,1,success,50.8,,,
left,left_arm,left_tool0,world,-0.500000,0.200000,1.200000,7,yaw0_pitch+15,0.00000000,0.79335334,0.00000000,0.60876143,1,1,success,50.5,,,
left,left_arm,left_tool0,world,-0.500000,0.200000,1.200000,8,yaw+15_pitch+15,0.07945931,0.78656609,0.10355339,0.60355339,1,1,success,0.5,,,
left,left_arm,left_tool0,world,-0.500000,0.200000,1.200000,-1,SUMMARY,,,,,,,,,9,9,1
left,left_arm,left_tool0,world,-0.500000,0.200000,1.400000,0,yaw-15_pitch-15,-0.10355339,0.60355339,-0.07945931,0.78656609,1,1,success,50.2,,,
left,left_arm,left_tool0,world,-0.500000,0.200000,1.400000,1,yaw0_pitch-15,0.00000000,0.60876143,0.00000000,0.79335334,1,1,success,50.7,,,
left,left_arm,left_tool0,world,-0.500000,0.200000,1.400000,2,yaw+15_pitch-15,0.10355339,0.60355339,0.07945931,0.78656609,1,1,success,60.6,,,
left,left_arm,left_tool0,world,-0.500000,0.200000,1.400000,3,yaw-15_pitch0,-0.09229596,0.70105738,-0.09229596,0.70105738,1,1,success,50.2,,,
left,left_arm,left_tool0,world,-0.500000,0.200000,1.400000,4,center,0.00000000,0.70710678,0.00000000,0.70710678,1,1,success,50.7,,,
left,left_arm,left_tool0,world,-0.500000,0.200000,1.400000,5,yaw+15_pitch0,0.09229596,0.70105738,0.09229596,0.70105738,1,1,success,0.5,,,
left,left_arm,left_tool0,world,-0.500000,0.200000,1.400000,6,yaw-15_pitch+15,-0.07945931,0.78656609,-0.10355339,0.60355339,1,1,success,50.4,,,
left,left_arm,left_tool0,world,-0.500000,0.200000,1.400000,7,yaw0_pitch+15,0.00000000,0.79335334,0.00000000,0.60876143,1,1,success,0.5,,,
left,left_arm,left_tool0,world,-0.500000,0.200000,1.400000,8,yaw+15_pitch+15,0.07945931,0.78656609,0.10355339,0.60355339,1,1,success,50.3,,,
left,left_arm,left_tool0,world,-0.500000,0.200000,1.400000,-1,SUMMARY,,,,,,,,,9,9,1
left,left_arm,left_tool0,world,-0.500000,0.400000,0.600000,0,yaw-15_pitch-15,-0.10355339,0.60355339,-0.07945931,0.78656609,1,1,success,55.2,,,
left,left_arm,left_tool0,world,-0.500000,0.400000,0.600000,1,yaw0_pitch-15,0.00000000,0.60876143,0.00000000,0.79335334,1,1,success,50.6,,,
left,left_arm,left_tool0,world,-0.500000,0.400000,0.600000,2,yaw+15_pitch-15,0.10355339,0.60355339,0.07945931,0.78656609,1,1,success,54.2,,,
left,left_arm,left_tool0,world,-0.500000,0.400000,0.600000,3,yaw-15_pitch0,-0.09229596,0.70105738,-0.09229596,0.70105738,1,1,success,50.6,,,
left,left_arm,left_tool0,world,-0.500000,0.400000,0.600000,4,center,0.00000000,0.70710678,0.00000000,0.70710678,1,1,success,60.0,,,
left,left_arm,left_tool0,world,-0.500000,0.400000,0.600000,5,yaw+15_pitch0,0.09229596,0.70105738,0.09229596,0.70105738,1,1,success,50.7,,,
left,left_arm,left_tool0,world,-0.500000,0.400000,0.600000,6,yaw-15_pitch+15,-0.07945931,0.78656609,-0.10355339,0.60355339,1,1,success,54.8,,,
left,left_arm,left_tool0,world,-0.500000,0.400000,0.600000,7,yaw0_pitch+15,0.00000000,0.79335334,0.00000000,0.60876143,1,1,success,50.5,,,
left,left_arm,left_tool0,world,-0.500000,0.400000,0.600000,8,yaw+15_pitch+15,0.07945931,0.78656609,0.10355339,0.60355339,1,1,success,59.5,,,
left,left_arm,left_tool0,world,-0.500000,0.400000,0.600000,-1,SUMMARY,,,,,,,,,9,9,1
left,left_arm,left_tool0,world,-0.500000,0.400000,0.800000,0,yaw-15_pitch-15,-0.10355339,0.60355339,-0.07945931,0.78656609,1,1,success,50.3,,,
left,left_arm,left_tool0,world,-0.500000,0.400000,0.800000,1,yaw0_pitch-15,0.00000000,0.60876143,0.00000000,0.79335334,1,1,success,50.7,,,
left,left_arm,left_tool0,world,-0.500000,0.400000,0.800000,2,yaw+15_pitch-15,0.10355339,0.60355339,0.07945931,0.78656609,1,1,success,53.0,,,
left,left_arm,left_tool0,world,-0.500000,0.400000,0.800000,3,yaw-15_pitch0,-0.09229596,0.70105738,-0.09229596,0.70105738,1,1,success,50.3,,,
left,left_arm,left_tool0,world,-0.500000,0.400000,0.800000,4,center,0.00000000,0.70710678,0.00000000,0.70710678,1,1,success,51.4,,,
left,left_arm,left_tool0,world,-0.500000,0.400000,0.800000,5,yaw+15_pitch0,0.09229596,0.70105738,0.09229596,0.70105738,1,1,success,51.2,,,
left,left_arm,left_tool0,world,-0.500000,0.400000,0.800000,6,yaw-15_pitch+15,-0.07945931,0.78656609,-0.10355339,0.60355339,1,1,success,57.5,,,
left,left_arm,left_tool0,world,-0.500000,0.400000,0.800000,7,yaw0_pitch+15,0.00000000,0.79335334,0.00000000,0.60876143,1,1,success,50.5,,,
left,left_arm,left_tool0,world,-0.500000,0.400000,0.800000,8,yaw+15_pitch+15,0.07945931,0.78656609,0.10355339,0.60355339,1,1,success,58.5,,,
left,left_arm,left_tool0,world,-0.500000,0.400000,0.800000,-1,SUMMARY,,,,,,,,,9,9,1
left,left_arm,left_tool0,world,-0.500000,0.400000,1.000000,0,yaw-15_pitch-15,-0.10355339,0.60355339,-0.07945931,0.78656609,1,1,success,50.0,,,
left,left_arm,left_tool0,world,-0.500000,0.400000,1.000000,1,yaw0_pitch-15,0.00000000,0.60876143,0.00000000,0.79335334,1,1,success,50.6,,,
left,left_arm,left_tool0,world,-0.500000,0.400000,1.000000,2,yaw+15_pitch-15,0.10355339,0.60355339,0.07945931,0.78656609,1,1,success,0.5,,,
left,left_arm,left_tool0,world,-0.500000,0.400000,1.000000,3,yaw-15_pitch0,-0.09229596,0.70105738,-0.09229596,0.70105738,1,1,success,50.6,,,
left,left_arm,left_tool0,world,-0.500000,0.400000,1.000000,4,center,0.00000000,0.70710678,0.00000000,0.70710678,1,1,success,50.7,,,
left,left_arm,left_tool0,world,-0.500000,0.400000,1.000000,5,yaw+15_pitch0,0.09229596,0.70105738,0.09229596,0.70105738,1,1,success,50.7,,,
left,left_arm,left_tool0,world,-0.500000,0.400000,1.000000,6,yaw-15_pitch+15,-0.07945931,0.78656609,-0.10355339,0.60355339,1,1,success,50.7,,,
left,left_arm,left_tool0,world,-0.500000,0.400000,1.000000,7,yaw0_pitch+15,0.00000000,0.79335334,0.00000000,0.60876143,1,1,success,50.7,,,
left,left_arm,left_tool0,world,-0.500000,0.400000,1.000000,8,yaw+15_pitch+15,0.07945931,0.78656609,0.10355339,0.60355339,1,1,success,50.6,,,
left,left_arm,left_tool0,world,-0.500000,0.400000,1.000000,-1,SUMMARY,,,,,,,,,9,9,1
left,left_arm,left_tool0,world,-0.500000,0.400000,1.200000,0,yaw-15_pitch-15,-0.10355339,0.60355339,-0.07945931,0.78656609,1,1,success,50.5,,,
left,left_arm,left_tool0,world,-0.500000,0.400000,1.200000,1,yaw0_pitch-15,0.00000000,0.60876143,0.00000000,0.79335334,1,1,success,50.7,,,
left,left_arm,left_tool0,world,-0.500000,0.400000,1.200000,2,yaw+15_pitch-15,0.10355339,0.60355339,0.07945931,0.78656609,1,1,success,50.7,,,
left,left_arm,left_tool0,world,-0.500000,0.400000,1.200000,3,yaw-15_pitch0,-0.09229596,0.70105738,-0.09229596,0.70105738,1,1,success,50.8,,,
left,left_arm,left_tool0,world,-0.500000,0.400000,1.200000,4,center,0.00000000,0.70710678,0.00000000,0.70710678,1,1,success,50.6,,,
left,left_arm,left_tool0,world,-0.500000,0.400000,1.200000,5,yaw+15_pitch0,0.09229596,0.70105738,0.09229596,0.70105738,1,1,success,50.8,,,
left,left_arm,left_tool0,world,-0.500000,0.400000,1.200000,6,yaw-15_pitch+15,-0.07945931,0.78656609,-0.10355339,0.60355339,1,1,success,50.6,,,
left,left_arm,left_tool0,world,-0.500000,0.400000,1.200000,7,yaw0_pitch+15,0.00000000,0.79335334,0.00000000,0.60876143,1,1,success,51.2,,,
left,left_arm,left_tool0,world,-0.500000,0.400000,1.200000,8,yaw+15_pitch+15,0.07945931,0.78656609,0.10355339,0.60355339,1,1,success,50.5,,,
left,left_arm,left_tool0,world,-0.500000,0.400000,1.200000,-1,SUMMARY,,,,,,,,,9,9,1
left,left_arm,left_tool0,world,-0.500000,0.400000,1.400000,0,yaw-15_pitch-15,-0.10355339,0.60355339,-0.07945931,0.78656609,1,1,success,50.7,,,
left,left_arm,left_tool0,world,-0.500000,0.400000,1.400000,1,yaw0_pitch-15,0.00000000,0.60876143,0.00000000,0.79335334,1,1,success,50.7,,,
left,left_arm,left_tool0,world,-0.500000,0.400000,1.400000,2,yaw+15_pitch-15,0.10355339,0.60355339,0.07945931,0.78656609,1,1,success,50.7,,,
left,left_arm,left_tool0,world,-0.500000,0.400000,1.400000,3,yaw-15_pitch0,-0.09229596,0.70105738,-0.09229596,0.70105738,1,1,success,50.8,,,
left,left_arm,left_tool0,world,-0.500000,0.400000,1.400000,4,center,0.00000000,0.70710678,0.00000000,0.70710678,1,1,success,51.0,,,
left,left_arm,left_tool0,world,-0.500000,0.400000,1.400000,5,yaw+15_pitch0,0.09229596,0.70105738,0.09229596,0.70105738,1,1,success,50.6,,,
left,left_arm,left_tool0,world,-0.500000,0.400000,1.400000,6,yaw-15_pitch+15,-0.07945931,0.78656609,-0.10355339,0.60355339,1,1,success,50.9,,,
left,left_arm,left_tool0,world,-0.500000,0.400000,1.400000,7,yaw0_pitch+15,0.00000000,0.79335334,0.00000000,0.60876143,1,1,success,50.9,,,
left,left_arm,left_tool0,world,-0.500000,0.400000,1.400000,8,yaw+15_pitch+15,0.07945931,0.78656609,0.10355339,0.60355339,1,1,success,50.8,,,
left,left_arm,left_tool0,world,-0.500000,0.400000,1.400000,-1,SUMMARY,,,,,,,,,9,9,1
left,left_arm,left_tool0,world,-0.500000,0.600000,0.600000,0,yaw-15_pitch-15,-0.10355339,0.60355339,-0.07945931,0.78656609,1,1,success,51.3,,,
left,left_arm,left_tool0,world,-0.500000,0.600000,0.600000,1,yaw0_pitch-15,0.00000000,0.60876143,0.00000000,0.79335334,1,1,success,51.4,,,
left,left_arm,left_tool0,world,-0.500000,0.600000,0.600000,2,yaw+15_pitch-15,0.10355339,0.60355339,0.07945931,0.78656609,1,1,success,50.7,,,
left,left_arm,left_tool0,world,-0.500000,0.600000,0.600000,3,yaw-15_pitch0,-0.09229596,0.70105738,-0.09229596,0.70105738,1,1,success,51.8,,,
left,left_arm,left_tool0,world,-0.500000,0.600000,0.600000,4,center,0.00000000,0.70710678,0.00000000,0.70710678,1,1,success,53.3,,,
left,left_arm,left_tool0,world,-0.500000,0.600000,0.600000,5,yaw+15_pitch0,0.09229596,0.70105738,0.09229596,0.70105738,1,1,success,52.0,,,
left,left_arm,left_tool0,world,-0.500000,0.600000,0.600000,6,yaw-15_pitch+15,-0.07945931,0.78656609,-0.10355339,0.60355339,1,1,success,50.5,,,
left,left_arm,left_tool0,world,-0.500000,0.600000,0.600000,7,yaw0_pitch+15,0.00000000,0.79335334,0.00000000,0.60876143,1,1,success,50.6,,,
left,left_arm,left_tool0,world,-0.500000,0.600000,0.600000,8,yaw+15_pitch+15,0.07945931,0.78656609,0.10355339,0.60355339,1,1,success,51.2,,,
left,left_arm,left_tool0,world,-0.500000,0.600000,0.600000,-1,SUMMARY,,,,,,,,,9,9,1
left,left_arm,left_tool0,world,-0.500000,0.600000,0.800000,0,yaw-15_pitch-15,-0.10355339,0.60355339,-0.07945931,0.78656609,1,1,success,50.3,,,
left,left_arm,left_tool0,world,-0.500000,0.600000,0.800000,1,yaw0_pitch-15,0.00000000,0.60876143,0.00000000,0.79335334,1,1,success,50.7,,,
left,left_arm,left_tool0,world,-0.500000,0.600000,0.800000,2,yaw+15_pitch-15,0.10355339,0.60355339,0.07945931,0.78656609,1,1,success,53.8,,,
left,left_arm,left_tool0,world,-0.500000,0.600000,0.800000,3,yaw-15_pitch0,-0.09229596,0.70105738,-0.09229596,0.70105738,1,1,success,50.1,,,
left,left_arm,left_tool0,world,-0.500000,0.600000,0.800000,4,center,0.00000000,0.70710678,0.00000000,0.70710678,1,1,success,50.6,,,
left,left_arm,left_tool0,world,-0.500000,0.600000,0.800000,5,yaw+15_pitch0,0.09229596,0.70105738,0.09229596,0.70105738,1,1,success,50.8,,,
left,left_arm,left_tool0,world,-0.500000,0.600000,0.800000,6,yaw-15_pitch+15,-0.07945931,0.78656609,-0.10355339,0.60355339,1,1,success,50.7,,,
left,left_arm,left_tool0,world,-0.500000,0.600000,0.800000,7,yaw0_pitch+15,0.00000000,0.79335334,0.00000000,0.60876143,1,1,success,50.7,,,
left,left_arm,left_tool0,world,-0.500000,0.600000,0.800000,8,yaw+15_pitch+15,0.07945931,0.78656609,0.10355339,0.60355339,1,1,success,51.5,,,
left,left_arm,left_tool0,world,-0.500000,0.600000,0.800000,-1,SUMMARY,,,,,,,,,9,9,1
left,left_arm,left_tool0,world,-0.500000,0.600000,1.000000,0,yaw-15_pitch-15,-0.10355339,0.60355339,-0.07945931,0.78656609,1,1,success,50.2,,,
left,left_arm,left_tool0,world,-0.500000,0.600000,1.000000,1,yaw0_pitch-15,0.00000000,0.60876143,0.00000000,0.79335334,1,1,success,50.7,,,
left,left_arm,left_tool0,world,-0.500000,0.600000,1.000000,2,yaw+15_pitch-15,0.10355339,0.60355339,0.07945931,0.78656609,1,1,success,0.5,,,
left,left_arm,left_tool0,world,-0.500000,0.600000,1.000000,3,yaw-15_pitch0,-0.09229596,0.70105738,-0.09229596,0.70105738,1,1,success,50.4,,,
left,left_arm,left_tool0,world,-0.500000,0.600000,1.000000,4,center,0.00000000,0.70710678,0.00000000,0.70710678,1,1,success,50.6,,,
left,left_arm,left_tool0,world,-0.500000,0.600000,1.000000,5,yaw+15_pitch0,0.09229596,0.70105738,0.09229596,0.70105738,1,1,success,50.4,,,
left,left_arm,left_tool0,world,-0.500000,0.600000,1.000000,6,yaw-15_pitch+15,-0.07945931,0.78656609,-0.10355339,0.60355339,1,1,success,50.5,,,
